31;31;5;5;18;21;5;5;18;21;0;5;0;20;0;5;0;20
32;32;3;4;11;23;3;4;11;23;0;4;0;22;0;4;0;22
33;33;3;4;24;23;3;4;24;23;0;4;0;23;0;4;0;23
34;34;4;4;20;25;4;4;20;25;0;3;0;24;0;3;0;24
35;35;3;4;26;26;3;4;26;26;0;4;0;26;0;4;0;26
36;36;4;4;24;26;4;4;24;26;0;4;0;23;0;4;0;23
37;37;4;5;25;27;4;5;25;27;0;4;0;21;0;4;0;21
38;38;3;4;10;29;3;4;10;29;0;4;0;29;0;4;0;29
39;39;1;2;28;30;1;2;28;30;0;2;0;30;0;2;0;30
40;40;5;5;26;28;5;5;26;28;0;5;0;28;0;5;0;28
41;41;5;4;31;30;5;4;31;30;0;4;0;29;0;4;0;29
42;42;4;4;31;33;4;4;31;33;0;4;0;33;0;4;0;33
43;43;4;4;34;30;4;4;34;30;0;4;0;30;0;4;0;30
44;44;4;5;28;34;4;5;28;34;0;5;0;34;0;5;0;34
45;45;4;3;36;36;4;3;36;36;0;3;0;36;0;3;0;36
46;46;4;2;34;34;4;2;34;34;0;2;0;29;0;2;0;29
47;47;3;3;37;39;3;3;37;39;0;3;0;39;0;3;0;39
48;48;4;5;33;38;4;5;33;38;0;5;0;38;0;5;0;38
49;49;4;4;39;34;4;4;39;34;0;3;0;27;0;3;0;27
50;50;5;5;40;40;5;5;40;40;0;5;0;40;0;5;0;40
51;51;4;4;41;42;4;4;41;42;0;4;0;42;0;4;0;42
52;52;5;5;42;41;5;5;42;41;0;2;0;32;0;2;0;32
53;53;0;0;29;34;0;0;29;34;0;0;0;34;0;0;0;34
54;54;4;4;44;44;4;4;44;44;0;4;0;36;0;4;0;36
55;55;4;4;46;46;4;4;46;46;0;2;0;40;0;2;0;40
56;56;4;5;44;46;4;5;44;46;0;5;0;46;0;5;0;46
57;57;3;5;34;38;3;5;34;38;0;5;0;38;0;5;0;38
58;58;5;5;44;45;5;5;44;45;0;4;0;36;0;4;0;36
59;59;4;5;40;47;4;5;40;47;0;4;0;40;0;4;0;40
60;60;3;4;41;51;3;4;41;51;0;4;0;51;0;4;0;51
61;61;4;5;50;51;4;5;50;51;0;3;0;49;0;3;0;49
