31;31;20;22;4;4;20;22;4;4;0;22;0;4;0;22;0;4
32;32;20;23;2;3;20;23;2;3;0;23;0;3;0;23;0;3
33;33;18;22;4;5;18;22;4;5;0;20;0;5;0;20;0;5
34;34;24;24;4;4;24;24;4;4;0;22;0;3;0;22;0;3
35;35;26;27;3;3;26;27;3;3;0;27;0;3;0;27;0;3
36;36;26;28;3;3;26;28;3;3;0;28;0;3;0;28;0;3
37;37;22;27;4;4;22;27;4;4;0;27;0;4;0;27;0;4
38;38;25;29;2;3;25;29;2;3;0;25;0;3;0;25;0;3
39;39;30;30;4;4;30;30;4;4;0;30;0;4;0;30;0;4
40;40;27;31;4;4;27;31;4;4;0;31;0;4;0;31;0;4
41;41;14;30;1;3;14;30;1;3;0;30;0;3;0;30;0;3
42;42;27;31;3;3;27;31;3;3;0;29;0;2;0;29;0;2
43;43;28;33;5;5;28;33;5;5;0;32;0;5;0;32;0;5
44;44;34;34;4;4;34;34;4;4;0;34;0;4;0;34;0;4
45;45;29;32;3;3;29;32;3;3;0;26;0;2;0;26;0;2
46;46;38;33;3;3;38;33;3;3;0;32;0;3;0;32;0;3
47;47;39;39;3;3;39;39;3;3;0;39;0;3;0;39;0;3
48;48;38;38;4;4;38;38;4;4;0;38;0;4;0;38;0;4
49;49;38;40;2;3;38;40;2;3;0;38;0;3;0;38;0;3
50;50;36;40;2;3;36;40;2;3;0;39;0;3;0;39;0;3
51;51;42;42;4;4;42;42;4;4;0;36;0;4;0;36;0;4
52;52;43;43;3;4;43;43;3;4;0;40;0;3;0;40;0;3
53;53;38;43;5;5;38;43;5;5;0;38;0;5;0;38;0;5
54;54;37;41;3;3;37;41;3;3;0;41;0;3;0;41;0;3
55;55;44;47;1;3;44;47;1;3;0;39;0;3;0;39;0;3
56;56;39;44;1;4;39;44;1;4;0;44;0;4;0;44;0;4
57;57;47;49;3;3;47;49;3;3;0;49;0;3;0;49;0;3
58;58;47;49;4;4;47;49;4;4;0;39;0;3;0;39;0;3
59;59;49;50;4;4;49;50;4;4;0;47;0;4;0;47;0;4
60;60;45;50;5;5;45;50;5;5;0;45;0;5;0;45;0;5
61;61;51;48;4;4;51;48;4;4;0;47;0;4;0;47;0;4
